Food code,Food name,FoodEx2 code,FoodEx2 name,Facet(s) code,Facet(s) description,Reverse yield factor,Source(s),Reference(s),Reference link
A.02.07.002,Cardoons (Cynara cardunculus),A00RX,Cardoons,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.07.003,Celery (Apium graveolens var. dulce),A00RY,Celeries,F28.A07GG,PROCESS=Cooking in water,0.96,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Celery with skin with waste, PROCESS=boiled)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.02.07.003,Celery (Apium graveolens var. dulce),A00RY,Celeries,F28.A07GG$F28.A0C6N,"PROCESS=Cooking in water, PROCESS=Pulping / mashing",0.96,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Celery with skin with waste, PROCESS=boiled)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.02.07.003,Celery (Apium graveolens var. dulce),A00RY,Celeries,F28.A07GM,PROCESS=Stewing,0.96,Extrapolation,based on 'boiled celery',
A.02.07.003,Celery (Apium graveolens var. dulce),A00RY,Celeries,F28.A07LN,PROCESS=Juicing,2.00,Assumption,Median factor for (fruiting) vegetables juice,
A.02.07.003,Celery (Apium graveolens var. dulce),A00RY,Celeries,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.07.004,Fennel (Foeniculum vulgare),A00SA,Florence fennels,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.07.005,Globe artichokes (Cynara scolymus),A00RS,Globe artichokes,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.07.005,Globe artichokes (Cynara scolymus),A00RS,Globe artichokes,F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.32,Literature,"National Food Administration, Bergstrom (1994), Nutrient losses and gains in the preparation of foods: NLG project J.Food Chemistry 57(1):77-78 || (FOOD/DISH=Artichokes, PROCESS=boiled, N=1)",http://www.fao.org/uploads/media/Bergstroem_1994_32_Livsmedelsverket_nutrient_losses_and_gains.pdf
A.02.07.006,Leek (Allium porrum),A00SB,Leeks,F28.A07GG$F28.A0C6N,"PROCESS=Cooking in water, PROCESS=Pulping / mashing",1.02,Literature,"National Food Administration, Bergstrom (1994), Nutrient losses and gains in the preparation of foods: NLG project J.Food Chemistry 57(1):77-78 || (FOOD/DISH=Leeks, PROCESS=boiled, N=5)",http://www.fao.org/uploads/media/Bergstroem_1994_32_Livsmedelsverket_nutrient_losses_and_gains.pdf
A.02.07.006,Leek (Allium porrum),A00SB,Leeks,F28.A07GM,PROCESS=Stewing,1.02,Extrapolation,based on 'boiled leek',
A.02.07.006,Leek (Allium porrum),A043L,Vegetable savoury extracts,F28.A07MJ,PROCESS=Extraction,1.00,Not converted to RPC,Not converted to RPC,
A.02.07.006,Leek (Allium porrum),A00SB,Leeks,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.07.006,Leek (Allium porrum),A00SB,Leeks,F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.02,Extrapolation,based on 'boiled leek',
A.02.07.007,Rhubarb (Rheum × hybridum),A00SD,Rhubarbs,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.07.007,Rhubarb (Rheum × hybridum),A00SD,Rhubarbs,F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.02,Literature,"National Food Administration, Bergstrom (1994), Nutrient losses and gains in the preparation of foods: NLG project J.Food Chemistry 57(1):77-78 || (FOOD/DISH=Rhubarb, PROCESS=boiled, N=1)",http://www.fao.org/uploads/media/Bergstroem_1994_32_Livsmedelsverket_nutrient_losses_and_gains.pdf
A.02.07.008,Bamboo shoots (Bambusa vulgaris),A00RV,Bamboo shoots,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.07.009,"Palm hearts (Euterpa oleracea, Cocos nucifera, Bactris gasipaes, Daemonorops schmidtiana)",A00SC,Palm hearts,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.08.001,Sugar beet (root) (Beta vulgaris),A010T,Sugar beet roots,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.08.001,Sugar beet (root) (Beta vulgaris),A010T,Sugar beet roots,F28.A0C04$F02.A06EG,"PROCESS=Sugar production, PART-NATURE=Syrup (as part-nature)",25.00,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Molasses => Beet),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.02.08.001,Sugar beet (root) (Beta vulgaris),A010T,Sugar beet roots,F28.A0C04$F02.A0EPY$F10.A07XK,"PROCESS=Sugar production, PART-NATURE=Sucrose (as part-nature), QUALITATIVE-INFO=White/refined",7.63,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Sugar refined => Beet),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.02.08.001,Sugar beet (root) (Beta vulgaris),A010T,Sugar beet roots,F28.A0C04$F02.A0EPY$F10.A0F5K,"PROCESS=Sugar production, PART-NATURE=Sucrose (as part-nature), QUALITATIVE-INFO=Brown",7.14,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Sugar raw => Beet),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.02.08.002,Sugar cane (Saccharum officinarum),A010V,Sugar canes,F28.A07MF,PROCESS=Distillation,5.00,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Bev. Dist. Alcohol => Sugar cane),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.02.08.002,Sugar cane (Saccharum officinarum),A010V,Sugar canes,F28.A0C04$F02.A06EG,"PROCESS=Sugar production, PART-NATURE=Syrup (as part-nature)",20.00,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Molasses => Sugar cane),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.02.08.002,Sugar cane (Saccharum officinarum),A010V,Sugar canes,F28.A0C04$F02.A0EPY$F10.A07XK,"PROCESS=Sugar production, PART-NATURE=Sucrose (as part-nature), QUALITATIVE-INFO=White/refined",9.70,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Sugar refined => sugar cane),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.02.08.002,Sugar cane (Saccharum officinarum),A010V,Sugar canes,F28.A0C04$F02.A0EPY$F10.A0F5K,"PROCESS=Sugar production, PART-NATURE=Sucrose (as part-nature), QUALITATIVE-INFO=Brown",9.09,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Sugar raw => sugar cane),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.02.08.003,Chicory roots (Cichorium intybus),A010Z,Chicory roots,F28.A07HC$F28.A07LA,"PROCESS=Toasting / coffee roasting, PROCESS=Grinding / milling / crushing",3.33,Literature,"FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Roots and tubers, dried => Roots and Tubers NES)",http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.02.08.003,Chicory roots (Cichorium intybus),A010Z,Chicory roots,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.09.001,Irish moss (Chondrus crispus),A00VG,Carrageen mosses,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.09.001.001,Kombu (Laminaria spp.),A00VM,Kombu,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.09.001.002,Laver (Porphyra spp.),A00VH,Laver,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.09.001.003,Wakame (Undaria spp),A00VC,Wakame,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.10.001,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis)",A047C,Essences and extracts,F28.A07MJ,PROCESS=Extraction,1.00,Not converted to RPC,Not converted to RPC,
A.02.10.001,"Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis)",A04KK,Teas  and similar-,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.10.004,Peppermint (Mentha × piperita),A00XZ,Mints,F28.A07KG,PROCESS=Drying (dehydration),7.00,Literature,"European Spice Association (2008), Dehydration factors for herbs and spices, Journal of consumer protection and food safety",https://www.esa-spices.org/index-esa.html/publications-esa
A.02.10.004,Peppermint (Mentha × piperita),A047C,Essences and extracts,F28.A07MJ,PROCESS=Extraction,1.00,Not converted to RPC,Not converted to RPC,
A.02.10.004,Peppermint (Mentha × piperita),A00XZ,Mints,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.10.009,Strawberry leaves (Fragaria × ananassa),A03JL,Strawberry infusion leaves,F28.A07KG,PROCESS=Drying (dehydration),1.00,RPC,CF not relevant (RPC refers to dried product),
A.02.10.013,Ginseng root (Panax ginseng),A03JV,Ginseng infusion roots,F28.A07KG,PROCESS=Drying (dehydration),1.00,RPC,CF not relevant (RPC refers to dried product),
A.02.11.001,Cocoa beans (fermented beans) (Theobroma cacao),A03HF,Cocoa beans (fermented or dried),F28.A07HC$F28.A07LA,"PROCESS=Toasting / coffee roasting, PROCESS=Grinding / milling / crushing",1.25,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Cocoa Paste => Cocoa beans),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.02.11.001,Cocoa beans (fermented beans) (Theobroma cacao),A03HF,Cocoa beans (fermented or dried),F28.A07HC$F28.A07LA$F28.A0C02$F02.A068M,"PROCESS=Toasting / coffee roasting, PROCESS=Grinding / milling / crushing, PROCESS=Oil production, PART-NATURE=Vegetable fats and oils (as part-nature)",2.66,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Cocoa butter => Cocoa beans),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.02.11.001,Cocoa beans (fermented beans) (Theobroma cacao),A03HF,Cocoa beans (fermented or dried),F28.A07HC$F28.A07LA$F28.A0C02$F02.A0EYD,"PROCESS=Toasting / coffee roasting, PROCESS=Grinding / milling / crushing, PROCESS=Oil production, PART-NATURE=Derivatives of coffee, cocoa, tea and similar RPCs (as part-nature)",2.36,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Powder => Cocoa beans),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.02.12.001,Coffee beans,A03GK,"Coffee beans, green",F28.A07HC,PROCESS=Toasting / coffee roasting,1.07,Assumption,Water content of 12% and 5% in green and roasted beans respectively,
A.02.12.001,Coffee beans,A03GK,"Coffee beans, green",F28.A07HC$F28.A07LA,"PROCESS=Toasting / coffee roasting, PROCESS=Grinding / milling / crushing",1.07,Extrapolation,based on 'Coffee beans',
A.02.12.001,Coffee beans,A03GK,"Coffee beans, green",F28.A07HC$F28.A07MN,"PROCESS=Toasting / coffee roasting, PROCESS=Decaffeinating",1.07,Assumption,Water content of 12% and 5% in green and roasted beans respectively,
A.02.12.001,Coffee beans,A03GK,"Coffee beans, green",F28.A07HC$F28.A07MN$F28.A07LA,"PROCESS=Toasting / coffee roasting, PROCESS=Decaffeinating, PROCESS=Grinding / milling / crushing",1.07,Assumption,Water content of 12% and 5% in green and roasted beans respectively,
A.02.12.001,Coffee beans,A047C,Essences and extracts,F28.A07MJ,PROCESS=Extraction,1.00,Not converted to RPC,Not converted to RPC,
A.02.12.001,Coffee beans,A03GK,"Coffee beans, green",F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.14.012,"Hops (dried), including hop pellets and unconcentrated powder (Humulus lupulus)",A00YZ,Hops,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.15.001,Cultivated mushroom (syn. Button mushroom) (Agaricus bisporus),A00TQ,Common mushrooms,F28.A07GG,PROCESS=Cooking in water,1.67,Literature,"National Food Administration, Bergstrom (1994), Nutrient losses and gains in the preparation of foods: NLG project J.Food Chemistry 57(1):77-78 || (FOOD/DISH=Mushrooms, PROCESS=boiled, N=1)",http://www.fao.org/uploads/media/Bergstroem_1994_32_Livsmedelsverket_nutrient_losses_and_gains.pdf
A.02.15.001,Cultivated mushroom (syn. Button mushroom) (Agaricus bisporus),A00TQ,Common mushrooms,F28.A07GM,PROCESS=Stewing,1.67,Extrapolation,based on 'boiled cultivated mushrooms',
A.02.15.001,Cultivated mushroom (syn. Button mushroom) (Agaricus bisporus),A00TQ,Common mushrooms,F28.A07GR,PROCESS=Frying,1.92,Literature,"National Food Administration, Bergstrom (1994), Nutrient losses and gains in the preparation of foods: NLG project J.Food Chemistry 57(1):77-78 || (FOOD/DISH=Mushrooms, PROCESS=fried, N=2)",http://www.fao.org/uploads/media/Bergstroem_1994_32_Livsmedelsverket_nutrient_losses_and_gains.pdf
A.02.15.001,Cultivated mushroom (syn. Button mushroom) (Agaricus bisporus),A00TQ,Common mushrooms,F28.A07GZ,PROCESS=Broiling/grilling,1.67,Extrapolation,based on 'boiled cultivated mushrooms',
A.02.15.001,Cultivated mushroom (syn. Button mushroom) (Agaricus bisporus),A00TQ,Common mushrooms,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.15.001,Cultivated mushroom (syn. Button mushroom) (Agaricus bisporus),A00TQ,Common mushrooms,F28.A0BA1,PROCESS=Cooking and similar thermal preparation processes,1.67,Extrapolation,based on 'boiled cultivated mushrooms',
A.02.15.002,Oyster mushroom (Pleurotus ostreatus),A00TR,Pearl oyster mushrooms,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.15.003,Shiitake mushroom (Lentinus edodes),A00TS,Shiitake,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.16.002,Honey mushroom (Armillaria mellea),A00TL,Honey mushroom,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.16.003,Boletus (Boletus (and other) spp.),A00TG,Ceps,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.16.004,Truffle (Tuber spp.),A00TJ,Truffles,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.16.005,Morel (Morchella esculanta),A00TK,Morels,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.16.006,Cantharelle (Cantharellus cibarius),A00TE,Chanterelles,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.02.16.007,Orange agaric (Lactarius deliciosus),A00TH,Saffron milk cap,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.03.01.001,New potatoes,A00ZV,New potatoes,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.03.01.002,Main-crop potatoes,A00ZX,Main-crop potatoes,F28.A07GG,PROCESS=Cooking in water,1.00,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Potato without peel, PROCESS=boiled)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.03.01.002,Main-crop potatoes,A00ZX,Main-crop potatoes,F28.A07GG$F28.A0C6N,"PROCESS=Cooking in water, PROCESS=Pulping / mashing",1.00,Extrapolation,based on 'boiled potatoes',
A.03.01.002,Main-crop potatoes,A00ZX,Main-crop potatoes,F28.A07GM,PROCESS=Stewing,0.95,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Potato without peel, PROCESS=stewed)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.03.01.002,Main-crop potatoes,A00ZX,Main-crop potatoes,F28.A07GR,PROCESS=Frying,1.52,Literature,"National Food Administration, Bergstrom (1994), Nutrient losses and gains in the preparation of foods: NLG project J.Food Chemistry 57(1):77-78 || (FOOD/DISH=Potatoes, peeled, PROCESS= fried, N=4)",http://www.fao.org/uploads/media/Bergstroem_1994_32_Livsmedelsverket_nutrient_losses_and_gains.pdf
A.03.01.002,Main-crop potatoes,A00ZX,Main-crop potatoes,F28.A07GR$F28.A07KX,"PROCESS=Frying, PROCESS=Dicing and stripe-cutting",1.85,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=French fries, PROCESS=deep fried)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.03.01.002,Main-crop potatoes,A00ZX,Main-crop potatoes,F28.A07GV$F28.A07KV,"PROCESS=Deep frying, PROCESS=Slicing",1.92,Literature,"National Food Administration, Bergstrom (1994), Nutrient losses and gains in the preparation of foods: NLG project J.Food Chemistry 57(1):77-78 || (FOOD/DISH=Potatoes, diced/sliced, PROCESS= deep fried, N=1)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.03.01.002,Main-crop potatoes,A00ZX,Main-crop potatoes,F28.A07GY,PROCESS=Roasting,1.33,Literature,"National Food Administration, Bergstrom (1994), Nutrient losses and gains in the preparation of foods: NLG project J.Food Chemistry 57(1):77-78 || (FOOD/DISH=Potatoes peeled diced/sliced, PROCESS= baked/roasted, N=2)",http://www.fao.org/uploads/media/Bergstroem_1994_32_Livsmedelsverket_nutrient_losses_and_gains.pdf
A.03.01.002,Main-crop potatoes,A00ZX,Main-crop potatoes,F28.A07KG$F28.A07LA,"PROCESS=Drying (dehydration), PROCESS=Grinding / milling / crushing",5.00,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Flour => Potatoes),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.03.01.002,Main-crop potatoes,A00ZX,Main-crop potatoes,F28.A07LG,PROCESS=Flaking,5.56,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Dehydrated Potatoes=> Potatoes),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.03.01.002,Main-crop potatoes,A00ZX,Main-crop potatoes,F28.A07LN,PROCESS=Juicing,1.52,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Potato new/old juices, PROCESS=prepared by juice centrifuge, N=2)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.03.01.002,Main-crop potatoes,A00ZX,Main-crop potatoes,F28.A07MF,PROCESS=Distillation,4.65,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Bev. Destilation => Potatoes),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.03.01.002,Main-crop potatoes,A00ZX,Main-crop potatoes,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.03.01.002,Main-crop potatoes,A00ZX,Main-crop potatoes,F28.A0C0B,PROCESS=Starch production,5.26,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Starch => Potatoes),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.03.02.001,Sweet potatoes (Ipomoea batatas),A010C,Sweet potatoes,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.03.02.002,Cassava root (Manihot esculenta),A00ZZ,Cassava roots,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.03.02.002,Cassava root (Manihot esculenta),A00ZZ,Cassava roots,F28.A0C0B,PROCESS=Starch production,4.00,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Starch => Cassava),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.03.02.004,Yam tubers (Dioscorea sp.),A010D,Yams,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.03.02.005,Jerusalem artichokes tubers (Helianthus tuberosus),A00QQ,Jerusalem artichokes,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.04.01.001,"Beans, green, without pods (Phaseolus vulgaris)",A011Z,Beans (fresh seeds without pods) and similar-,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.04.01.002,"Peas, green, without pods (Pisum sativum)",A012G,Peas (without pods) and similar-,F28.A07GG,PROCESS=Cooking in water,1.10,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Green peas, PROCESS=boiled)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.04.01.002,"Peas, green, without pods (Pisum sativum)",A012G,Peas (without pods) and similar-,F28.A07GG$F28.A0C6N,"PROCESS=Cooking in water, PROCESS=Pulping / mashing",1.10,Extrapolation,based on 'boiled green peas',
A.04.01.002,"Peas, green, without pods (Pisum sativum)",A012G,Peas (without pods) and similar-,F28.A07GM,PROCESS=Stewing,1.09,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Green peas, PROCESS=stewed)",
A.04.01.002,"Peas, green, without pods (Pisum sativum)",A012G,Peas (without pods) and similar-,F28.A07GR,PROCESS=Frying,1.12,Extrapolation,based on 'green peas boiled',
A.04.01.002,"Peas, green, without pods (Pisum sativum)",A012G,Peas (without pods) and similar-,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.04.02.001,Beans (Phaseolus vulgaris),A012S,Beans (dry) and similar-,F28.A07GG,PROCESS=Cooking in water,0.40,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Beans (white and red), PROCESS=boiled/stewed)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.04.02.001,Beans (Phaseolus vulgaris),A012S,Beans (dry) and similar-,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.04.02.002,Lentils (Lens culinaris syn. L. esculenta),A0DCE,Lentils (dry) and similar-,F28.A07GG,PROCESS=Cooking in water,0.37,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Lentils dried, PROCESS=boiled/stewed)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.04.02.002,Lentils (Lens culinaris syn. L. esculenta),A0DCE,Lentils (dry) and similar-,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.04.02.003,Peas (Pisum sativum),A0DCD,Peas (dry) and similar-,F28.A07GG,PROCESS=Cooking in water,0.41,Literature,"Bognár (2002), Tables on weight yield of food and retention factors of food constituents for the calculation of nutrient composition of cooked foods (dishes) ISSN 0933 - 5463 || (FOOD/DISH=Peas dried, PROCESS=boiled/stewed)",http://www.fao.org/uploads/media/bognar_bfe-r-02-03.pdf
A.04.02.003,Peas (Pisum sativum),A0DCD,Peas (dry) and similar-,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.04.02.005,Chick pea (Cicer arietinum),A013M,Chickpeas (dry),F28.A07GG,PROCESS=Cooking in water,0.41,Extrapolation,based on 'boiled peas',
A.04.02.005,Chick pea (Cicer arietinum),A013M,Chickpeas (dry),F28.A07LA,PROCESS=Grinding / milling / crushing,1.32,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Flour of pulses => pulses),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.04.02.005,Chick pea (Cicer arietinum),A013M,Chickpeas (dry),F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.04.02.005,Chick pea (Cicer arietinum),A013M,Chickpeas (dry),F28.A0BYP,PROCESS=Canning / jarring,0.41,Extrapolation,based on 'boiled peas',
A.04.02.007,Broad bean (Vicia faba),A013H,Broad beans (dry),F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.04.02.008,Lima bean (Phaseolus lunatis),A013A,Lima beans (dry),F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.04.02.009,Mung bean (Phaseolus aureus),A013D,Mung beans (dry),F28.A07GG,PROCESS=Cooking in water,0.40,Extrapolation,based on 'boiled beans',
A.04.02.009,Mung bean (Phaseolus aureus),A013D,Mung beans (dry),F28.A07LA,PROCESS=Grinding / milling / crushing,1.32,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Flour of pulses => pulses),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.04.02.009,Mung bean (Phaseolus aureus),A013D,Mung beans (dry),F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.04.02.009,Mung bean (Phaseolus aureus),A00SR,Mung bean sprouts,F28.A07XD$F02.A067R,"PROCESS=Unspecified, PART-NATURE=Sprout (as part-nature)",1.00,RPC,RPC,
A.04.02.011,Black eye bean (Vigna unguiculata),A013N,Black eyed peas (dry),F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.04.02.012,Soya beans (Glycine max),A015P,Soyabeans for oil,F28.A07GG,PROCESS=Cooking in water,0.40,Extrapolation,based on 'boiled beans',
A.04.02.012,Soya beans (Glycine max),A015P,Soyabeans for oil,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.04.02.012,Soya beans (Glycine max),A015P,Soyabeans for oil,F28.A0C02$F02.A068M,"PROCESS=Oil production, PART-NATURE=Vegetable fats and oils (as part-nature)",5.56,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Oil of soyabeans => soyabeans),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.04.02.012,Soya beans (Glycine max),A015P,Soyabeans for oil,F28.A0C02$F02.A0EQA,"PROCESS=Oil production, PART-NATURE=Isolated proteins and other protein products (as part-nature)",1.27,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Cake of soyabeans => soyabeans),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.04.02.012,Soya beans (Glycine max),A015P,Soyabeans for oil,F28.A0CQZ,PROCESS=Fermentation,0.29,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Soyasauce => soyabeans),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.04.02.014,Carob fruit (Ceratonia siliqua),A01HY,Carobs,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.04.02.019,"Pigeon pea, (Cajanus cajan)",A013P,Pigeon peas (dry),F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.04.02.020,Yam bean (Pachyrrizus erosus),A010D,Yams,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.04.02.021,Peanut (Arachis hypogea),A015H,Peanuts,F28.A07XD,PROCESS=Unspecified,1.00,RPC,RPC,
A.04.02.021,Peanut (Arachis hypogea),A015H,Peanuts,F28.A0C02$F02.A068M,"PROCESS=Oil production, PART-NATURE=Vegetable fats and oils (as part-nature)",2.33,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Oil of groundnuts => Shelled groundnuts),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.04.02.021,Peanut (Arachis hypogea),A015H,Peanuts,F28.A0C6N,PROCESS=Pulping / mashing,1.18,Literature,FAO (2000) Technical Conversion Factors for Agricultural Commodities || (Peanut butter => Shelled groundnuts),http://www.fao.org/fileadmin/templates/ess/documents/methodology/tcf.pdf
A.04.03.001,"Almond, sweet (Prunus amygalus dulcis)",A014F,Almonds sweet,F28.A07LA,PROCESS=Grinding / milling / crushing,1.00,Assumption,Default value of 1,
