"id","exposure","gruppo","code",,"Our approximation",
4699,"L5","Candied fruit, pear","8.80.273.501.1813",,"A.05.09.008.001","Candied fruit, Cheery"
4281,"L5","Candied fruit, pineapple","8.80.273.501.1395",,"A.05.09.008.001","Candied fruit, Cheery"
3617,"L5","Candied fruits","8.80.273.501.731",,"A.05.09.008.001","Candied fruit, Cheery"
3741,"L5","Candied or sugar preserved nuts","11.81.296.577.855",,"I.10.04.019","Sugar coated nuts"
3944,"L5","Candied or sugar preserved vegetables","20.82.66.703.1058",,"A.05.09.008.001","Candied fruit, Cheery"
3137,"L5","Candies (soft and hard)","19.27.67.179.251",,"A.10.04.001","Candies, with sugar"
3549,"L5","Canned anchovies","6.38.301.102.663",,"A.07.01.004","Anchovy (Engraulis)"
3551,"L5","Canned herring","6.38.301.102.665",,"A.07.01.001","Herring (Clupea)"
3041,"L5","Canned mackerel","6.38.301.102.155",,"A.07.01.013","Mackeral (Scomber)"
3791,"L5","Canned meat","13.21.68.618.905",,"A.06.01.001","Beef meat (Bos spp.)"
3270,"L5","Canned mushrooms","20.82.72.271.384",,"A.02.15.001","Cultivated mushroom (syn. Button mushroom) (Agaricus bisporus)"
3618,"L5","Canned or jarred apple","8.80.273.187.732",,"A.05.09.006.002","Canned fruit, Apple (Malus domesticus)"
3147,"L5","Canned or jarred apricot","8.80.273.187.261",,"A.05.09.006.004","Canned fruit, Apricot (Prunus armeniaca)"
3738,"L5","Canned or jarred chickpea","11.81.69.574.852",,"A.04.02.005","Chick pea (Cicer arietinum)"
3357,"L5","Canned or jarred common beans","11.81.69.344.471",,"I.04.02.022","Beans (dry), soaked/boiled/canned"
3619,"L5","Canned or jarred cranberry","8.80.273.187.733",,"A.05.09.006.010","Canned fruit, Cranberry (Vaccinium macrocarpon)"
3149,"L5","Canned or jarred fruit","8.80.273.187.263",,"A.05.09.006.012","Canned fruit, Mixed fruit"
3739,"L5","Canned or jarred legumes","11.81.69.575.853",,"I.04.02.022","Beans (dry), soaked/boiled/canned"
3740,"L5","Canned or jarred lentils","11.81.69.576.854",,"I.04.02.023","Lentils (dry), soaked/boiled/canned"
3150,"L5","Canned or jarred mandarin","8.80.273.187.264",,"A.05.09.006.001","Canned fruit, Mandarin (Citrus reticulata)"
3152,"L5","Canned or jarred mixed fruit","8.80.273.187.266",,"A.05.09.006.012","Canned fruit, Mixed fruit"
3154,"L5","Canned or jarred peach","8.80.273.187.268",,"A.05.09.006.008","Canned fruit, Peach (Prunus persica)"
3156,"L5","Canned or jarred pear","8.80.273.187.270",,"A.05.09.006.003","Canned fruit, Pear (Pyrus communis)"
3358,"L5","Canned or jarred peas","11.81.69.345.472",,"I.04.02.024","Peas (dry), soaked/boiled/canned"
3158,"L5","Canned or jarred pineapple","8.80.273.187.272",,"A.05.09.006.011","Canned fruit, Pineapple (Ananas comosus)"
3160,"L5","Canned or jarred plum","8.80.273.187.274",,"A.05.09.006.005","Canned fruit, Plum (Prunus domestica)"
3620,"L5","Canned or jarred sour cherry","8.80.273.187.734",,"A.05.09.006.007","Canned fruit, Sour cherry (Prunus cerasus)"
3162,"L5","Canned or jarred sweet cherry","8.80.273.187.276",,"A.05.09.006.006","Canned fruit, Sweet cherry (Prunus avium)"
3810,"L5","Canned or jarred table grape","8.80.273.187.924",,"A.05.04.001","Table grapes (Vitis euvitis)"
3552,"L5","Canned salmon","6.38.301.102.666",,"I.07.01.006.001","Salmon (Salmo salar)"
3553,"L5","Canned sardines","6.38.301.102.667",,"A.07.01.003","Sardine and pilchard (Sardina)"
3563,"L5","Canned seafood","6.38.302.467.677",,"A.07.01.014","Tuna (Thunnus)"
3554,"L5","Canned sprats","6.38.301.102.668",,"A.07.01.002","Sprat (Sprattus sprattus)"
3857,"L5","Canned starchy root products","18.96.70.652.971",,"A.02.01.002","Beetroot (Beta vulgaris subsp. vulgaris)"
3043,"L5","Canned tunas and similar","6.38.301.102.157",,"A.07.01.014","Tuna (Thunnus)"
3555,"L5","Canned/jarred fish","6.38.301.102.669",,"A.07.01.014","Tuna (Thunnus)"
3272,"L5","Canned/jarred vegetables","20.82.72.273.386",,"I.19.07.004.001","Mixed vegetables, boiled, Broccoli-Carrots-Cauliflower"
4373,"L5","Canned-tinned meat","13.21.71.908.1487",,"A.06.01.001","Beef meat (Bos spp.)"
3747,"L5","Capers buds","11.92.60.580.861",,"A.16.02.009","Capers (Capparis spinosa)"
3583,"L5","Carambolas","8.51.252.483.697",,"A.05.06.005","Carambola (Averrhoa carambola)"
4366,"L5","Caraway fruit","11.92.172.903.1480",,"A.16.02.010","Caraway (Carum carvi)"
4130,"L5","Carbonated bottled drinking water","21.32.52.438.1244",,"A.15.03.002","Carbonated mineral water"
3516,"L5","Carbonated natural mineral water","21.32.52.320.630",,"A.15.03.002","Carbonated mineral water"
4402,"L5","Cardamom fruit","11.92.172.922.1516",,"A.16.02.011","Cardamom (Elettaria cardamomum)"
4282,"L5","Cardoons","20.99.73.853.1396",,"A.02.07.002","Cardoons (Cynara cardunculus)"
4504,"L5","Carnitine or creatine-based supplement for sports people","16.45.157.996.1618",,"A.18.03.005","Carnitine-based supplement for sports people"
4743,"L5","Carobs","3.57.239.1116.1857",,"A.04.02.014","Carob fruit (Ceratonia siliqua)"
3537,"L5","Carps","6.37.163.460.651",,"A.07.01.024","Carp (Cyprinus)"
4554,"L5","Carrageen mosses","20.2.322.1023.1668",,"A.18.02.011","Algae formula (e.g. Spirulina, Chlorella)"
3296,"L5","Carrots","20.85.74.289.410",,"A.02.01.003","Carrots (Daucus carota)"
3733,"L5","Cashew nuts","11.74.397.571.847",,"A.04.03.004","Cashew nuts (Anacardium occidentale)"
4007,"L5","Cassava roots","18.97.398.729.1121",,"A.03.02.002","Cassava root (Manihot esculenta)"
4769,"L5","Cassia buds","11.92.60.901.1883",,"A.16.02.014","Cinnamon (Cinnamonum verum syn. C. zeylanicum)"
3962,"L5","Catfishes (freshwater)","6.37.163.461.1076",,,
4838,"L5","Cattle fresh fat tissue","13.8.229.1176.1952",,"A.11.01.009","Tallow"
3205,"L5","Cauliflowers","20.40.75.226.319",,"A.02.04.002","Cauliflower (Brassica oleracea var. botrytis)"
4080,"L5","Ceasar salad","4.91.336.757.1194",,"A.19.11.008","Prepared meat salad"
3298,"L5","Celeriacs","20.85.76.291.412",,"A.02.01.004","Celeriac (Apium graveolens var. rapaceum)"
3316,"L5","Celeries","20.99.77.309.430",,"A.02.07.003","Celery (Apium graveolens var. dulce)"
4062,"L5","Celery leaves","20.54.32.668.1176",,"A.16.01.004","Celery leaves (Apium graveolens var. seccalinum)"
4176,"L5","Celtuce","20.99.274.805.1290",,"A.02.07.003","Celery (Apium graveolens var. dulce)"
3887,"L5","Ceps","20.53.179.244.1001",,"A.02.15.001","Cultivated mushroom (syn. Button mushroom) (Agaricus bisporus)"
3661,"L5","Cereal and cereal-like flours","10.22.78.526.775",,"A.01.03.008.004","Flour mix, wheat/rye/barley/oats"
4787,"L5","Cereal and cereal-like flours not separately listed","10.22.78.1143.1901",,"A.01.03.008.004","Flour mix, wheat/rye/barley/oats"
3219,"L5","Cereal bars","10.19.79.235.333",,"A.01.06.003.001","Cereal bar with fruits"
3221,"L5","Cereal bars mixed","10.19.79.237.335",,"A.01.06.003.001","Cereal bar with fruits"
3223,"L5","Cereal bars plain","10.19.79.238.337",,"A.01.03.001.008","Wheat bran"
3666,"L5","Cereal bran","10.22.80.531.780",,"A.01.03.001.008","Wheat bran"
3226,"L5","Cereal flakes and similar","10.19.297.241.340",,"A.01.06.001.008","Mixed cereal flakes"
4455,"L5","Cereal germ","10.22.81.961.1569",,"A.01.02.001.001","Wheat germ"
3669,"L5","Cereal grains (and cereal-like grains)","10.22.82.533.783",,"A.01.02.010.001","Mixture of grains"
3489,"L5","Cereal products and grains based soup","4.91.361.424.603",,"A.19.10.002","Grain soup"
4876,"L5","Cereal rolled grains","10.19.56.767.1990",,"A.01.02.010.001","Mixture of grains"
4531,"L5","Cereals and cereal primary derivatives","10.22.83.1009.1645",,"A.01.02.010.001","Mixture of grains"
4746,"L5","Cereals with an added high protein food reconstituted","7.78.84.1117.1860",,"I.17.05.006","Cereals with an added high protein food reconstituted with water or other protein-free liquid"
4043,"L5","Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid","7.78.85.742.1157",,"A.17.05.002","Cereals with an added high protein food which are or have to be reconstituted with water or other protein-free liquid"
4883,"L5","Chamomile","3.57.152.1196.1997",,"A.02.10.001","Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis)"
4187,"L5","Chamomile (infusion seeds)","3.57.239.811.1301",,"A.02.10.001","Tea (dried leaves and stalks, fermented or otherwise of Camellia sinensis)"
3405,"L5","Champagne-like wine","1.111.430.374.519",,"A.14.02.002","Wine, white, sparkling"
3234,"L5","Chanterelles","20.53.179.244.348",,"A.02.16.006","Cantharelle (Cantharellus cibarius)"
3647,"L5","Chapati","10.18.401.520.761",,"A.01.03.008.003","Chapatti flour"
3945,"L5","Char","6.37.124.94.1059",,"A.07.01.007","Char (Salvelinus)"
3942,"L5","Chards","20.59.367.673.1056",,"A.02.05.013","Beet leaves (Beta vulgaris)"
4910,"L5","Chards and similar-","20.59.367.673.2024",,"A.02.05.013","Beet leaves (Beta vulgaris)"
2991,"L5","Cheese","14.23.86.68.105",,"I.08.08.192","Hard cheese (cheddar, emmental type)"
3413,"L5","Cheese curd","14.23.161.380.527",,"I.08.08.192","Hard cheese (cheddar, emmental type)"
4019,"L5","Cheese omelette","4.31.126.41.1133",,"A.19.08.003","Omelette with cheese"
4863,"L5","Cheese powder","14.23.87.1189.1977",,"A.08.08.011","Cheese, processed cheese, plain"
4031,"L5","Cheese savoury pie","4.31.340.66.1145",,"A.01.07.001.022","Cheese pie"
3883,"L5","Cheese, chevre frais","14.23.161.666.997",,"A.08.08.051","Cheese, Chevres"
4572,"L5","Cheese, crescenza","14.23.161.1031.1686",,"A.08.08.144","Cheese, Ricotta"
4488,"L5","Cheese, ricotta salata","14.23.57.772.1602",,"A.08.08.144","Cheese, Ricotta"
3737,"L5","Cheese-based canapé","4.31.340.59.851",,"A.01.07.001.040","Cheese pastry goods from puff pastry"
4443,"L5","Chemical elements","15.24.88.952.1557",,,
3587,"L5","Cherimoyas","8.51.253.487.701",,"A.05.06.019","Cherimoya (Annona cherimola)"
3593,"L5","Cherries (sweet)","8.51.379.493.707",,"A.05.03.006","Sweet cherry (Prunus avium)"
4093,"L5","Cherries and similar-","8.51.379.493.1207",,"A.05.03.006","Sweet cherry (Prunus avium)"
4601,"L5","Cherry plums","8.51.379.175.1715",,"A.05.03.002","Plums (Prunus domestica)"
3502,"L5","Chervil","20.54.32.434.616",,"A.16.01.001","Chervil, herb (Anthriscus cerefolium)"
3743,"L5","Chestnut puree (castanea vulgaris)","11.81.296.346.857",,"A.02.14.010","Chestnut purée (Castanea vulgaris)"
3734,"L5","Chestnuts","11.74.397.572.848",,"A.04.03.005","Chestnuts (Castanea sativa)"
3141,"L5","Chewing gum","19.27.67.183.255",,"A.10.04.016","Chewing gum with added sugar"
4401,"L5","Chia seeds","11.74.268.856.1515",,"A.04.05","Other seeds"
4311,"L5","Chicken edible offal, non-muscle, other than liver and kidney","13.7.290.872.1425",,"A.06.06.024","Giblets (chicken, turkey, duck, goose)"
4345,"L5","Chicken fat, processed","2.5.25.383.1459",,"A.11.01.005","Chicken fat"
3370,"L5","Chicken feet","13.13.293.354.484",,"A.06.06.024","Giblets (chicken, turkey, duck, goose)"
3372,"L5","Chicken fresh meat","13.64.48.13.486",,"A.06.02.001","Chicken meat (Gallus domesticus)"
4376,"L5","Chicken kidney","13.9.291.911.1490",,"A.06.06.005","Chicken liver"
4312,"L5","Chicken, fresh fat tissue","13.8.47.873.1426",,"A.11.01.005","Chicken fat"
3789,"L5","Chicken, other slaughtering products","13.13.293.354.903",,"A.06.06.024","Giblets (chicken, turkey, duck, goose)"
4157,"L5","Chickling vetches (dry)","11.60.307.561.1271",,"A.04.02.005","Chick pea (Cicer arietinum)"
4477,"L5","Chickpea flour","11.81.308.971.1591",,"A.04.02.006","Chick pea flour"
3721,"L5","Chickpeas (dry)","11.60.307.561.835",,"A.04.02.005","Chick pea (Cicer arietinum)"
4802,"L5","Chickpeas (with pods)","20.61.284.1155.1916",,"A.04.02.005","Chick pea (Cicer arietinum)"
3716,"L5","Chickpeas (without pods)","11.60.212.329.830",,"A.04.02.005","Chick pea (Cicer arietinum)"
3440,"L5","Chicory coffee infusion","3.55.101.396.554",,"A.02.13.002","Chicory coffee"
3450,"L5","Chicory coffee ingredient","3.57.102.406.564",,"A.02.13.002","Chicory coffee"
4008,"L5","Chicory roots","18.102.329.730.1122",,"A.02.08.003","Chicory roots (Cichorium intybus)"
3885,"L5","Chili peppers","20.52.359.234.999",,"A.02.03.003","Chilli pepper (Capsicum frutescens)"
4543,"L5","Chili pickle","17.26.323.415.1657",,"A.16.07.007","Chilli pickle"
3253,"L5","Chinese cabbages","20.59.208.256.367",,"A.02.04.005","Chinese cabbage (Brassica pekinensis)"
4635,"L5","Chinese cabbages and similar-","20.59.208.256.1749",,"A.02.04.005","Chinese cabbage (Brassica pekinensis)"
4933,"L5","Chinese water chestnut","18.97.398.1002.2047",,"A.04.03.005","Chestnuts (Castanea sativa)"
3881,"L5","Chipolata-type sausage","13.86.160.665.995",,"A.06.09.004.005","Frankfurters, sausage"
2992,"L5","Chips/crisps","4.47.89.69.106",,"A.20.01.001","Potato crisps"
3239,"L5","Chives","20.54.32.248.353",,"A.16.01.002","Chives, herb (Allium schoenoprasum)"
4552,"L5","Chocolate and chocolate products","19.27.90.1022.1666",,"I.10.03.002.002","Bitter-sweet chocolate, plain"
3151,"L5","Chocolate and similar","19.27.90.188.265",,"I.10.03.002.002","Bitter-sweet chocolate, plain"
3157,"L5","Chocolate coated confectionery","19.27.90.189.271",,"I.10.03.006.001","Chocolate coated biscuit"
4350,"L5","Chocolate coated dried fruit","8.80.128.897.1464",,"A.05.09.012","Fruit, chocolate coated"
4168,"L5","Chocolate mass","19.27.40.802.1282",,"A.02.11.004","Cocoa mass"
3161,"L5","Chocolate/cocoa-based products","19.27.90.189.275",,"I.10.03.002.002","Bitter-sweet chocolate, plain"
3845,"L5","Chocolate-based cakes","10.36.64.278.959",,"A.01.07.001.006","Chocolate cake"
4581,"L5","Choux pastry dough","10.76.313.1033.1695",,"I.01.07.001.049","Choux pastry"
3927,"L5","Chutneys","17.26.323.695.1041",,"A.16.07.005","Mixed chutney"
4374,"L5","Ciccioli and similar","13.77.93.909.1488",,"A.06.01.003","Pork / piglet meat (Sus scrofa)"
4159,"L5","Cinnamon bark","11.92.39.798.1273",,"A.16.02.014","Cinnamon (Cinnamonum verum syn. C. zeylanicum)"
4612,"L5","Cinnamon bark and similar-","11.92.39.798.1726",,"A.16.02.014","Cinnamon (Cinnamonum verum syn. C. zeylanicum)"
4340,"L5","Citrus fruit peel","8.80.273.891.1454",,"A.05.01.002","Oranges (Citrus sinensis)"
3100,"L5","Citrus fruits","8.51.94.145.214",,"A.05.01.002","Oranges (Citrus sinensis)"
4457,"L5","Clams","6.73.95.962.1571",,"A.07.05.005","Clam (Mya arenaria)"
4090,"L5","Clementines","8.51.94.149.1204",,"A.05.01.005","Mandarins (Citrus reticulata)"
4489,"L5","Clotted cream","14.23.161.981.1603",,"A.08.05.001.004","Cream 40 % fat"
4901,"L5","Cloudberries","8.51.46.139.2015",,"A.05.04.016","Cloudberry (Rubus chamaemorus)"
4364,"L5","Cloves buds","11.92.60.901.1478",,"A.16.02.015","Cloves (Syzygium aromaticum)"
4267,"L5","Cockle and arkshell","6.73.95.762.1381",,"A.07.05.006","Cockle (Cardium edule)"
4087,"L5","Cockles","6.73.95.762.1201",,"A.07.05.006","Cockle (Cardium edule)"
3377,"L5","Cocktail drink","1.72.96.358.491",,"A.05.09.005","Fruit cocktail"
3433,"L5","Cocoa beverages","3.55.97.389.547",,"A.13.05.002","Cocoa drink"
3950,"L5","Coconut cream liqueur","1.105.217.707.1064",,"A.14.05.006","Cocos cream liqueur"
3621,"L5","Coconut milk (cocos nucifera) liquid","9.33.219.502.735",,"A.02.14.009","Coconut milk (Cocos nucifera)"
3420,"L5","Coconut oil/fat","2.5.406.385.534",,"A.11.04.002","Coconut oil"
4458,"L5","Coconut water","9.62.99.963.1572",,"A.02.14.009","Coconut milk (Cocos nucifera)"
3736,"L5","Coconuts","11.74.397.573.850",,"A.04.03.006","Coconuts (Cocos nucifera)"
3027,"L5","Cod","6.37.238.95.141",,"I.07.01.017.001","Cod (Gadus morhua)"
4521,"L5","Cod roe","6.39.145.1007.1635",,"I.07.03.001.001","Fish roe, Cod"
4917,"L5","Cod, murray","6.37.163.461.2031",,"I.07.01.017.001","Cod (Gadus morhua)"
4520,"L5","Cods, hakes, haddocks","6.37.238.95.1634",,"I.07.01.017.001","Cod (Gadus morhua)"
4235,"L5","Coenzyme q10 formulations","16.46.256.829.1349",,,
4068,"L5","Coffee (average strength) beverage","3.55.100.755.1182",,"A.13.03.002","Coffee drink, café américano"
4575,"L5","Coffee (strong) beverage","3.55.100.1032.1689",,"A.13.03.002","Coffee drink, café américano"
3435,"L5","Coffee (weak strength) beverage","3.55.100.391.549",,"A.13.03.002","Coffee drink, café américano"
2923,"L5","Coffee beverage decaffeinated","3.55.100.30.37",,"A.13.01.006","Cola beverages, decaffeinated, low calorie"
4134,"L5","Coffee beverage-preparation, powder","3.57.201.786.1248",,"A.02.12.006","Instant coffee, powder"
2925,"L5","Coffee beverages","3.55.100.32.39",,"A.13.03.002","Coffee drink, café américano"
3436,"L5","Coffee espresso (beverage)","3.55.100.392.550",,"A.13.03.001","Coffee drink, espresso"
4481,"L5","Coffee flavour","12.44.147.974.1595",,"A.02.12.004","Coffee beans, roasted and ground"
4132,"L5","Coffee ground, roasted","3.57.103.409.1246",,"A.02.12.004","Coffee beans, roasted and ground"
4186,"L5","Coffee ground, roasted and decaffeinated","3.57.103.409.1300",,"A.02.12.005","Coffee beans, roasted and ground, decaffeinated"
3441,"L5","Coffee imitate beverages","3.55.101.397.555",,"A.13.04","Coffee imitates beverage"
4284,"L5","Coffee imitate ingredients","3.57.102.854.1398",,"A.13.04","Coffee imitates beverage"
4178,"L5","Coffee with milk or cream","3.55.100.394.1292",,"A.13.03.006","Coffee with milk (café latte, café au lait)"
4482,"L5","Cola flavour","12.44.147.975.1596",,"A.13.01.007","Cola Mix"
3342,"L5","Cola mix, flavoured cola","21.109.358.328.456",,"A.13.01.007","Cola Mix"
4283,"L5","Cola-type drinks","21.109.358.328.1397",,"A.13.01.003","Cola beverages, caffeinic"
4890,"L5","Collards","20.59.208.258.2004",,"A.02.04.004","Head cabbage (Brassica oleracea convar. capitata)"
4514,"L5","Comb honey","19.100.199.1003.1628",,"A.02.04.004","Head cabbage (Brassica oleracea convar. capitata)"
4118,"L5","Combination of vitamin and mineral only supplements","16.46.412.775.1232",,"A.18.02.003","Combination of vitamins and minerals supplements"
4044,"L5","Common banana","8.51.253.157.1158",,"A.05.06.015","Bananas (Musa × paradisica)"
3509,"L5","Common bean sprouts","20.94.104.437.623",,"I.02.05.023","Bean sprout"
4152,"L5","Common laminated dough","10.76.313.795.1266",,"I.01.07.001.050","Puff pastry"
3670,"L5","Common millet and similar-","10.22.82.534.784",,"A.01.02.007","Millet grain"
3837,"L5","Common millet grain","10.22.82.534.951",,"A.01.02.007","Millet grain"
3230,"L5","Common mushrooms","20.53.179.243.344",,"A.02.15.001","Cultivated mushroom (syn. Button mushroom) (Agaricus bisporus)"
3898,"L5","Common nettle","20.54.32.670.1012",,"A.02.05.020","Nettle (Urtica dioica)"
3131,"L5","Common peaches","8.51.379.173.245",,"A.05.03.011","Peaches (Prunus persica)"
4709,"L5","Common quail eggs","5.104.429.1101.1823",,"A.09.01.007","Quail eggs"
3675,"L5","Common wheat grain","10.22.82.537.789",,"A.01.02.001","Wheat grain"
3605,"L5","Compote of fruit / vegetables","8.80.165.185.719",,"A.05.09.007.002","Fruit compote, Apple (Malus domesticus)"
3056,"L5","Condensed milk (sometimes with added sugars)","14.69.245.114.170",,"A.08.03.002.004","Condensed milk 10 % fat"
3841,"L5","Condiments (including table-top formats)","17.26.105.645.955",,,
3167,"L5","Confectionery including chocolate","19.27.106.192.281",,"A.01.07.002.002","Biscuits, chocolate filling"
4646,"L5","Conger","6.37.238.462.1760",,,
3070,"L5","Continental european brown cooked sauce, gravy","17.26.343.128.184",,"A.16.08.002","Brown sauce (Gravy, Lyonnais sauce)"
4907,"L5","Cooked bovine tongue","13.83.107.624.2021",,"A.06.06.013","Tongue (beef, veal, mutton, lamb, pork)"
2961,"L5","Cooked bratwurst-type sausage","13.86.295.56.75",,"A.06.09.001.002","Bratwurst"
4228,"L5","Cooked cured (or seasoned) bovine meat","13.83.107.624.1342",,"A.06.08.002","Ham, beef"
3878,"L5","Cooked cured (or seasoned) meat","13.83.107.664.992",,"A.06.08.002","Ham, beef"
3879,"L5","Cooked cured (or seasoned) pork meat","13.83.107.44.993",,"A.06.08.001","Ham, pork"
3397,"L5","Cooked cured (or seasoned) poultry meat","13.83.107.372.511",,"A.06.08.006","Ham, turkey"
4163,"L5","Cooked other poultry meat","13.83.107.372.1277",,"A.06.08.006","Ham, turkey"
3395,"L5","Cooked pork ham","13.83.107.44.509",,"A.06.08.001","Ham, pork"
2950,"L5","Cooked sausages (generic)","13.86.295.51.64",,"A.06.09.004.007","Wiener, sausage"
4112,"L5","Cooked turkey meat","13.83.107.372.1226",,"A.06.02.002","Turkey meat (Meleagris gallopavo)"
4288,"L5","Coriander seed","11.92.349.857.1402",,"A.16.02.016","Coriander seed (Coriandrum sativum)"
3490,"L5","Corn semolina based thick soup","4.91.361.425.604",,"A.19.10.002","Grain soup"
3804,"L5","Corned beef, cooked","13.83.107.624.918",,"A.06.08.008","Corned beef"
3399,"L5","Corned beef, uncooked","13.83.312.45.513",,"A.06.08.008","Corned beef"
2938,"L5","Corned pork meat, cooked","13.83.107.44.52",,"A.06.08.009","Corned pork"
4229,"L5","Corned pork, uncooked","13.83.312.46.1343",,"A.06.08.009","Corned pork"
4380,"L5","Corned turkey","13.83.107.372.1494",,"A.06.02.002","Turkey meat (Meleagris gallopavo)"
4230,"L5","Corned turkey, uncooked","13.83.312.48.1344",,"A.06.02.002","Turkey meat (Meleagris gallopavo)"
2993,"L5","Cottage cheese","14.23.161.70.107",,"I.08.08.187","Cheese, Cottage"
4278,"L5","Courgette (edible flowers)","20.41.108.852.1392",,"A.02.03.008","Courgettes (Zucchini) (Cucurbita pepo var. melopepo)"
3206,"L5","Courgettes and similar-","20.52.115.227.320",,"A.02.03.008","Courgettes (Zucchini) (Cucurbita pepo var. melopepo)"
4123,"L5","Couverture chocolate","19.27.90.188.1237",,"I.10.03.002.002","Bitter-sweet chocolate, plain"
3062,"L5","Cow milk","14.70.244.120.176",,"A.08.01.001.002","Cow milk, 3 - 4% fat (whole milk)"
2916,"L5","Cow, ox or bull fresh meat","13.64.232.23.30",,"A.06.01.001","Beef meat (Bos spp.)"
4140,"L5","Crab apples","8.51.287.169.1254",,"A.05.02.001","Apple (Malus domesticus)"
4183,"L5","Crabs, sea-spiders","6.28.109.808.1297",,"A.07.04.001","Crab (Cancer spp.)"
3188,"L5","Crackers and breadsticks","10.18.110.210.302",,"A.01.07.002.006","Butter biscuits"
3092,"L5","Cranberries","8.51.46.139.206",,"A.05.04.009","Cranberries (Vaccinium macrocarpon)"
4651,"L5","Cranberries and similar-","8.51.46.139.1765",,"A.05.04.009","Cranberries (Vaccinium macrocarpon)"
3831,"L5","Cream and cream products","14.70.111.637.945",,"A.08.05.001.003","Cream 30 % fat"
2995,"L5","Cream cheese","14.23.161.71.109",,"A.08.08.113","Cheese, Mascarpone"
3111,"L5","Cream sauce","17.26.343.152.225",,"I.16.08.003.002","Cream sauce, unspecified"
3060,"L5","Cream sprayable","14.70.111.118.174",,"A.08.05.001.003","Cream 30 % fat"
4081,"L5","Cream with other ingredients","14.70.111.758.1195",,"I.16.08.003.002","Cream sauce, unspecified"
3061,"L5","Cream, plain","14.70.111.119.175",,"A.08.05.001.003","Cream 30 % fat"
3735,"L5","Creamed vegetable mix","4.31.126.54.849",,"I.16.08.003.009","Cream sauce, tzatziki"
3054,"L5","Créme fraiche and other mild variants of sour cream","14.35.362.112.168",,"A.08.05.004.005","Crème fraîche, >30% fat"
3309,"L5","Cresses","20.94.112.302.423",,"A.02.05.005","Cress (Lepidium sativum)"
3191,"L5","Crisp bread","10.18.113.213.305",,"A.01.04.005.002","Crisp bread, rye, light"
3638,"L5","Crisp bread, rye, refined flour","10.18.113.518.752",,"A.01.04.005.002","Crisp bread, rye, light"
3639,"L5","Crisp bread, wheat, refined flour","10.18.113.214.753",,"A.01.04.005.004","Crisp bread, wheat, light"
3263,"L5","Crisp lettuces","20.59.216.266.377",,"A.02.05.002","Lettuce, excluding Iceberg-type lettuce (Lactuca sativa)"
3530,"L5","Crustaceans","6.28.114.453.644",,,
3209,"L5","Cucumbers and similar-","20.52.115.227.323",,"A.02.03.006","Cucumbers (Cucumis sativus)"
4842,"L5","Cucurbits fruiting vegetables","20.52.115.1179.1956",,"A.02.03.006","Cucumbers (Cucumis sativus)"
3232,"L5","Cultivated fungi and similar-","20.53.179.243.346",,"A.02.15.001","Cultivated mushroom (syn. Button mushroom) (Agaricus bisporus)"
4289,"L5","Cumin seed","11.92.349.858.1403",,"A.16.02.017","Cumin seed (Cuminum cyminum)"
4318,"L5","Cured pork fat","13.77.116.874.1432",,"A.11.01.004","Pork lard (Schmaltz)"
2953,"L5","Cured ripened raw sausages","13.86.295.53.67",,"A.06.09.001.002","Bratwurst"
4625,"L5","Cured seasoned bovine meat","13.83.312.45.1739",,"A.06.08.012","Pastrami, beef"
3402,"L5","Cured seasoned pork meat","13.83.312.46.516",,"A.06.08.011","Pastrami, pork"
2946,"L5","Cured seasoned poultry meat","13.83.312.48.60",,"A.06.08.006","Ham, turkey"
4771,"L5","Cured unripened raw sausages","13.86.295.55.1885",,"A.06.09.001.002","Bratwurst"
3504,"L5","Curly endives","20.59.216.262.618",,"A.02.05.004","Endive, scarole (broad-leaf endive) (Cichorium endiva)"
3255,"L5","Curly kales","20.59.208.258.369",,"A.02.04.006","Kale (Brassica oleracea convar. Acephalea)"
3575,"L5","Currants (black, red and white)","8.51.46.478.689",,"A.05.04.010","Currants (red, black and white) (Ribes nigrum, Ribes rubrum)"
4470,"L5","Currants and similar-","8.51.46.478.1584",,"A.05.04.010","Currants (red, black and white) (Ribes nigrum, Ribes rubrum)"
4882,"L5","Cusk-eels","6.37.238.462.1996",,,
3903,"L5","Cutting lettuces","20.59.216.266.1017",,"A.02.05.002","Lettuce, excluding Iceberg-type lettuce (Lactuca sativa)"
3569,"L5","Cuttlefish, common","6.73.370.473.683",,"A.07.05.003","Cuttlefish (Sepia officinalis)"
3797,"L5","Cuttlefishes","6.73.370.473.911",,"A.07.05.003","Cuttlefish (Sepia officinalis)"
3033,"L5","Dab or common dab","6.37.238.98.147",,,
4338,"L5","Daikon","20.85.310.889.1452",,"A.02.01.005","Horseradish (Armoracia rusticana)"
3432,"L5","Dairy desserts spoonable","14.29.117.388.546",,"I.20.02.001.008","Ice cream, milk-based, vanilla"
3434,"L5","Dairy ice creams and similar","14.29.119.390.548",,"I.20.02.001.008","Ice cream, milk-based, vanilla"
3452,"L5","Dairy imitates other than milks","16.66.120.124.566",,"I.20.02.001.006","Ice cream, milk-based, without cornet and coat, flavoured"
4164,"L5","Dairy snacks","14.29.121.801.1278",,"I.20.02.001.008","Ice cream, milk-based, vanilla"
3491,"L5","Dairy/egg soup","4.91.361.426.605",,"A.19.10.007","Milk product/egg soup"
