Livsmedelsnummer,Livsmedelsnamn,Råvara nivå 1,Andel,Inkluderar,Tillagningsprocess  nivå 1,Konverteringsfaktor nivå 1,Publikation nivå 1,Foodex2 nivå 1,Rå mängd beräknad,Beräkning rå mängd,Råvara nivå 2,Tillagningsprocess nivå 2,Konverteringsfaktor nivå 2,Publikation nivå 2,Foodex2 nivå 2,Kommentar,
788,Pitabröd m falafel sallad sesam pepperoni,Fett vegetabiliskt fett och olja,5,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036V,5,"5 * 1,00",,,,,,Faktor = logisk slutledning,
788,Pitabröd m falafel sallad sesam pepperoni,"Vete, fullkorn",3,,"Tillagad, adderad",1,-,A004B,3,"3 * 1,00",,,,,,Faktor = logisk slutledning,
788,Pitabröd m falafel sallad sesam pepperoni,Övrigt,2,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,2,"2 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
788,Pitabröd m falafel sallad sesam pepperoni,Salt,1,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
788,Pitabröd m falafel sallad sesam pepperoni,Persilja,1,,Rå,1,SLV - Riktlinjer för livsmedel,A00YE,1,"1 * 1,00",,,,,,Faktor=logisk slutledning,
788,Pitabröd m falafel sallad sesam pepperoni,Jäst,1,jästextrakt,"Rå, tillagad ",1,-,A049A,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
788,Pitabröd m falafel sallad sesam pepperoni,Vitlök,1,,Rå,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00GZ,1,"1 * 1,00",,,,,,,
793,Matmuffins grov fullkorn m getost fårost broccoli spenat soltorkade tomater,Ost (hårdost),15,"Ystade hårdostar, kittost, mögelost","Rå, tillagad ",1,-,A02VA,15,"15 * 1,00",,,,,,Faktor = logisk slutledning,
793,Matmuffins grov fullkorn m getost fårost broccoli spenat soltorkade tomater,Grädde fett <15%,15,matlagningsgrädde,"Rå, tillagad ",1,SLV - Riktlinjer för livsmedel,A02MK#F07.A074F,15,"15 * 1,00",Mjölk,"Rå, tillagad ",3,SLV - Riktlinjer för livsmedel,A02LY,"Faktor= logisk slutledning.
Faktor för nivå 2 beräknad utifrån att 100g mjölk med fetthalt 4% ger 33,3  g grädde med 12% fetthalt.",
793,Matmuffins grov fullkorn m getost fårost broccoli spenat soltorkade tomater,"Lök (gul, röd)",15,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,15,"15 * 1,00",,,,,,,
793,Matmuffins grov fullkorn m getost fårost broccoli spenat soltorkade tomater,Spenat,12,nässlor,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00MJ,12,"12 * 1,00",,,,,,,
793,Matmuffins grov fullkorn m getost fårost broccoli spenat soltorkade tomater,"Vete, fullkorn",10,,"Tillagad, adderad",1,-,A004B,10,"10 * 1,00",,,,,,Faktor = logisk slutledning,
793,Matmuffins grov fullkorn m getost fårost broccoli spenat soltorkade tomater,"Ägg, höna",9,Helt ägg höna,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A031G,9,"9 * 1,00",,,,,,Faktor = logisk slutledning,
793,Matmuffins grov fullkorn m getost fårost broccoli spenat soltorkade tomater,"Vete, siktat",9,,"Tillagad, adderad",1,-,A003Y,9,"9 * 1,00",,,,,,Faktor = logisk slutledning,
793,Matmuffins grov fullkorn m getost fårost broccoli spenat soltorkade tomater,Tomat,7,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HQ,7,"7 * 1,00",,,,,,,
793,Matmuffins grov fullkorn m getost fårost broccoli spenat soltorkade tomater,Olja olivolja,6,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036P,6,"6 * 1,00",Oliver,Juice drickfärdig,2,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A016M,,
793,Matmuffins grov fullkorn m getost fårost broccoli spenat soltorkade tomater,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
793,Matmuffins grov fullkorn m getost fårost broccoli spenat soltorkade tomater,Salt,1,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
796,Paj ost skinka,"Mjölk fett 1-2,5 %",15,,"Rå, tillagad ",1,-,A02LZ,15,"15 * 1,00",,,,,,Faktor = logisk slutledning,
796,Paj ost skinka,Ost (hårdost),12,"Ystade hårdostar, kittost, mögelost","Rå, tillagad ",1,-,A02VA,12,"12 * 1,00",,,,,,Faktor = logisk slutledning,
796,Paj ost skinka,"Ägg, höna",12,Helt ägg höna,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A031G,12,"12 * 1,00",,,,,,Faktor = logisk slutledning,
796,Paj ost skinka,"Mjölk fett > 2,5%",7,,"Rå, tillagad ",1,-,A02LY,7,"7 * 1,00",,,,,,Faktor = logisk slutledning,
796,Paj ost skinka,Fett matfettsblandning,12,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A04RT,12,"12 * 1,00",,,,,,Faktor = logisk slutledning,
796,Paj ost skinka,"Vete, siktat",11,,"Tillagad, adderad",1,-,A003Y,11,"11 * 1,00",,,,,,Faktor = logisk slutledning,
796,Paj ost skinka,"Lök (gul, röd)",8,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,8,"8 * 1,00",,,,,,,
796,Paj ost skinka,Mjölk fett < 1 %,4,,"Rå, tillagad ",1,-,A02MA,4,"4 * 1,00",,,,,,Faktor = logisk slutledning,
796,Paj ost skinka,Gris ,12,"Griskött, fläsk, bacon, fläskfärs, Fläskbog, sidfläsk, fläskkarré, Fläskkotlett, kassler",Tillagad,1.3,USDA table of cooking yields for meat and poultry (2012),A01RG,15.6,"12 * 1,30",,,,,,Medelvärde för gris 70 olika bitar och tillagningssätt,
796,Paj ost skinka,"Vete, fullkorn",4,,"Tillagad, adderad",1,-,A004B,4,"4 * 1,00",,,,,,Faktor = logisk slutledning,
796,Paj ost skinka,Vatten,3,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,3,"3 * 1,00",,,,,,Faktor=logiskt slutledning,
797,Smörgåstårta landgång,"Vete, siktat",19,"kokt pasta, kokta nudlar",Tillagad,0.5,"Retentionsfaktorer för beräknade livsmedel, näringsämnen/Bognar ",A003Y,9.5,"19 * 0,50",,,,,,,
797,Smörgåstårta landgång,"Ost, Färskost",15,"philadelphia, keso, mozarella, Halloumi, ricotta, mascarpone","Rå, tillagad ",1,-,A02QZ,15,"15 * 1,00",,,,,,Faktor = logisk slutledning,
797,Smörgåstårta landgång,Vatten,9,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,9,"9 * 1,00",,,,,,Faktor=logiskt slutledning,
797,Smörgåstårta landgång,Grädde fett >31%,7,vispgrädde,"Rå, tillagad ",1,-,A02MK#F07.A074F,7,"7 * 1,00",Mjölk,"Rå, tillagad ",10,SLV - Riktlinjer för livsmedel,A02LY,"Faktor = logisk slutledning
Faktor för nivå 2 beräknad utifrån att 100g mjölk med fetthalt 4% ger 10 g grädde med 40% fetthalt.",
797,Smörgåstårta landgång,Grädde fett <15%,3,matlagningsgrädde,"Rå, tillagad ",1,SLV - Riktlinjer för livsmedel,A02MK#F07.A074F,3,"3 * 1,00",Mjölk,"Rå, tillagad ",3,SLV - Riktlinjer för livsmedel,A02LY,"Faktor= logisk slutledning.
Faktor för nivå 2 beräknad utifrån att 100g mjölk med fetthalt 4% ger 33,3  g grädde med 12% fetthalt.",
797,Smörgåstårta landgång,Olja rapsolja,6,,Rå,1,SLV - Riktlinjer för livsmedel,A036V,6,"6 * 1,00",Raps,Juice drickfärdig,2.4,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015M,,
797,Smörgåstårta landgång,Räkor ,6,,Rå,1,SLV - Riktlinjer för livsmedel,A02GB,6,"6 * 1,00",,,,,,Faktor = logisk slutledning,
797,Smörgåstårta landgång,Övrigt,5,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc",Rå,1,SLV - Riktlinjer för livsmedel,A042Z_R,5,"5 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
797,Smörgåstårta landgång,Dill,1,,"Rå, tillagad ",1,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A00XH,1,"1 * 1,00",,,,,,,
797,Smörgåstårta landgång,"Ägg, höna",4,Helt ägg höna,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A031G,4,"4 * 1,00",,,,,,Faktor = logisk slutledning,
797,Smörgåstårta landgång,Oliver,1,,"Rå, tillagad ",1,SLV - Riktlinjer för livsmedel,A01HH,1,"1 * 1,00",,,,,,Faktor=logisk slutledning.,
797,Smörgåstårta landgång,Purjolök,3,,Rå,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00SB,3,"3 * 1,00",,,,,,,
797,Smörgåstårta landgång,Gurka,2,,Rå,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00JM,2,"2 * 1,00",,,,,,,
797,Smörgåstårta landgång,"Lök (gul, röd)",1,,Rå,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,1,"1 * 1,00",,,,,,,
797,Smörgåstårta landgång,Citron,1,,Juice drickfärdig,1.6,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A01BY,1.6,"1 * 1,60",,,,,,,
797,Smörgåstårta landgång,Persilja,1,,Rå,1,SLV - Riktlinjer för livsmedel,A00YE,1,"1 * 1,00",,,,,,Faktor=logisk slutledning,
797,Smörgåstårta landgång,Paprika ,1,,Rå,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00JA,1,"1 * 1,00",,,,,,,
797,Smörgåstårta landgång,Senapsfrön,1,,Rå,1,-,A015S,1,"1 * 1,00",,,,,,,
797,Smörgåstårta landgång,Sallad,1,"Ekbaldssallat, endivesallat, Frisésallat, Huvudsallat, Isbergssallat, Mâchesallat, Romansallat, Ruccolasallat",Rå,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00KX,1,"1 * 1,00",,,,,,,
797,Smörgåstårta landgång,Gurka ,1,,Tillagad,1.1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00JM,1.1,"1 * 1,10",,,,,,,
797,Smörgåstårta landgång,Tonfisk ,7,,Tillagad,1.3,Yield factors – sammanställning av försök vid Livsmedelsverket (2013)  Öhrvik V,A02DX,9.1,"7 * 1,30",,,,,,,
797,Smörgåstårta landgång,Äggula,1,,Rå,1,SLV - Riktlinjer för livsmedel,A031S,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
797,Smörgåstårta landgång,Gris ,4,"Griskött, fläsk, bacon, fläskfärs, Fläskbog, sidfläsk, fläskkarré, Fläskkotlett, kassler",Tillagad,1.3,USDA table of cooking yields for meat and poultry (2012),A01RG,5.2,"4 * 1,30",,,,,,Medelvärde för gris 70 olika bitar och tillagningssätt,
799,Pizza ospec.,"Vete, siktat",31,,"Tillagad, adderad",1,-,A003Y,31,"31 * 1,00",,,,,,Faktor = logisk slutledning,
799,Pizza ospec.,Ost (hårdost),16,"Ystade hårdostar, kittost, mögelost","Rå, tillagad ",1,-,A02VA,16,"16 * 1,00",,,,,,Faktor = logisk slutledning,
799,Pizza ospec.,"Ost, Färskost",2,"philadelphia, keso, mozarella, Halloumi, ricotta, mascarpone","Rå, tillagad ",1,-,A02QZ,2,"2 * 1,00",,,,,,Faktor = logisk slutledning,
799,Pizza ospec.,Vatten,8,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,8,"8 * 1,00",,,,,,Faktor=logiskt slutledning,
799,Pizza ospec.,Fett vegetabiliskt fett och olja,6,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036V,6,"6 * 1,00",,,,,,Faktor = logisk slutledning,
799,Pizza ospec.,Jäst,1,jästextrakt,"Rå, tillagad ",1,-,A049A,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
799,Pizza ospec.,Champinjon,4,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A00TQ,4,"4 * 1,00",,,,,,Faktor = logisk slutledning,
799,Pizza ospec.,Övrigt,2,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,2,"2 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
799,Pizza ospec.,Räkor ,1,,Tillagad,1,"Retentionsfaktorer för beräknade livsmedel, näringsämnen/Bognar ",A02GB,1,"1 * 1,00",,,,,,,
799,Pizza ospec.,Chilipeppar,1,,"Rå, tillagad ",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00JB,1,"1 * 1,00",,,,,,,
799,Pizza ospec.,Stärkelse,1,"47% majs, 38% vete och 15% potatis.  0% Tapiocasträrkelse","Rå, tillagad ",1,SLV - Riktlinjer för livsmedel,A011F,1,"1 * 1,00",,,,,,Foodex2-kod finns ännu inte i foodex2-browser ver 0.1.3 men kommer att tas med i framtida uppdateringar.,
799,Pizza ospec.,Socker,1,"Råsocker, farinsocker, invertsocker, sockerkulör","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A032H,1,"1 * 1,00",Sockerbeta,Rå,6.5,SLV - Riktlinjer för livsmedel,A010T,"Faktor = logisk slutledning

NB! Med ändrad Foodex-kod för socker, stämmer det inte alltid att råvara nivå 2 är sockerbeta.",
799,Pizza ospec.,"Yoghurt fett 1-2,5 %",1,,"Rå, tillagad ",1,-,A02NG#F10.A077B,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
799,Pizza ospec.,Musslor,0,,Tillagad,1,"Retentionsfaktorer för beräknade livsmedel, näringsämnen/Bognar ",A02HF,0,"0 * 1,00",,,,,,"Faktorn avser tillagade musslor med skal. För en omvanlingsfaktor från tillagade musslor utan skal till råa musslor med skal blir omvandlingsfaktorn 5,0 (Bognar)",
799,Pizza ospec.,"Gris, rökt",0,,Tillagad,1.1,Analysprotokoll Dnr 719/2011,A01RG,0,"0 * 1,10",,,,,,,
799,Pizza ospec.,Tomat krossad,17,"tomatkross, krossad tomat, ",Tillagad,1.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HQ,20.4,"17 * 1,20",,,,,,Faktor beräknad 40% tomatjuice och 60% tomat tillagad.,
799,Pizza ospec.,Salt,1,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
799,Pizza ospec.,Sallad,0,"Ekbaldssallat, endivesallat, Frisésallat, Huvudsallat, Isbergssallat, Mâchesallat, Romansallat, Ruccolasallat","Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00KX,0,"0 * 1,00",,,,,,,
799,Pizza ospec.,Tomat ,0,,Pure ,3.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HQ,0,"0 * 3,20",,,,,,,
799,Pizza ospec.,"Lök (gul, röd)",0,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,0,"0 * 1,00",,,,,,,
799,Pizza ospec.,Gris ,5,"Griskött, fläsk, bacon, fläskfärs, Fläskbog, sidfläsk, fläskkarré, Fläskkotlett, kassler",Tillagad,1.3,USDA table of cooking yields for meat and poultry (2012),A01RG,6.5,"5 * 1,30",,,,,,Medelvärde för gris 70 olika bitar och tillagningssätt,
799,Pizza ospec.,Nöt/ko ,2,"biff, entrecôte, filé, köttfärs, oxkött, oxfilé",Tillagad,1.3,,A01QX,2.6,"2 * 1,30",,,,,,Medelvärde för biff 82 olika bitar och tillagningssätt,
799,Pizza ospec.,Olja olivolja,0,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036P,0,"0 * 1,00",Oliver,Juice drickfärdig,2,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A016M,,
818,Ris vildris kokt,"Ris, korn",100,Vildris,Tillagad,0.4,"Retentionsfaktorer för beräknade livsmedel, näringsämnen/Bognar ",A003D,40,"100 * 0,40",,,,,,,
820,Ris olika sorter kokt m salt,"Ris, fullkorn",33,"Råris, vildris",Tillagad,0.3,"Retentionsfaktorer för beräknade livsmedel, näringsämnen/Bognar ",A001E,9.9,"33 * 0,30",,,,,,Faktor = logisk slutledning,
820,Ris olika sorter kokt m salt,"Ris, korn",67,Vildris,Tillagad,0.4,"Retentionsfaktorer för beräknade livsmedel, näringsämnen/Bognar ",A003D,26.8,"67 * 0,40",,,,,,,
824,Vinbladsdolma m ris konserv,Vatten,34,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,34,"34 * 1,00",,,,,,Faktor=logiskt slutledning,
824,Vinbladsdolma m ris konserv,"Ris, korn",24,Vildris,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A003D,24,"24 * 1,00",,,,,,Faktor = logisk slutledning,
824,Vinbladsdolma m ris konserv,"Lök (gul, röd)",15,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,15,"15 * 1,00",,,,,,,
824,Vinbladsdolma m ris konserv,Vinblad,10,,"Tillagad, adderad",1,Användarhjälp - Riktlinjer för beräknade livsmedel,A00NB,10,"10 * 1,00",,,,,,Faktor = logisk slutledning,
824,Vinbladsdolma m ris konserv,Olja sojaolja,10,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036X,10,"10 * 1,00",Sojaböna,Juice drickfärdig,5,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A015P,,
824,Vinbladsdolma m ris konserv,Citron,5,,Juice drickfärdig,1.6,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A01BY,8,"5 * 1,60",,,,,,,
824,Vinbladsdolma m ris konserv,Övrigt,1,"Salt, kryddor, bakpulver, hjorthornssalt, surdegspulver etc","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042Z_R,1,"1 * 1,00",,,,,,"Här lägger vi övriga ingredienser som inte behöver egen kod. Bara några exempel är nämnda under""inkluderar"", men komplettera gärna listan.",
824,Vinbladsdolma m ris konserv,Salt,1,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
835,Majsgryn polenta kokt,"Majs, siktat",99,kokt polenta,Tillagad,0.5,"Retentionsfaktorer för beräknade livsmedel, näringsämnen/Bognar ",A002Q,49.5,"99 * 0,50",,,,,,"Faktor lånad från vete, siktad tillagad. Motivering näbesläktade arter med liknande användningsområden.
",
835,Majsgryn polenta kokt,Salt,1,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
838,Ris à la Malta,"Mjölk fett 1-2,5 %",41,,"Rå, tillagad ",1,-,A02LZ,41,"41 * 1,00",,,,,,Faktor = logisk slutledning,
838,Ris à la Malta,"Mjölk fett > 2,5%",18,,"Rå, tillagad ",1,-,A02LY,18,"18 * 1,00",,,,,,Faktor = logisk slutledning,
838,Ris à la Malta,"Ris, siktat",14,Vildris,Torkad,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A003F_R,14,"14 * 1,00",,,,,,,
838,Ris à la Malta,Mjölk fett < 1 %,11,,"Rå, tillagad ",1,-,A02MA,11,"11 * 1,00",,,,,,Faktor = logisk slutledning,
838,Ris à la Malta,Grädde fett >31%,11,vispgrädde,"Rå, tillagad ",1,-,A02MK#F07.A074F,11,"11 * 1,00",Mjölk,"Rå, tillagad ",10,SLV - Riktlinjer för livsmedel,A02LY,"Faktor = logisk slutledning
Faktor för nivå 2 beräknad utifrån att 100g mjölk med fetthalt 4% ger 10 g grädde med 40% fetthalt.",
838,Ris à la Malta,Socker,4,"Råsocker, farinsocker, invertsocker, sockerkulör","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A032H,4,"4 * 1,00",Sockerbeta,Rå,6.5,SLV - Riktlinjer för livsmedel,A010T,"Faktor = logisk slutledning

NB! Med ändrad Foodex-kod för socker, stämmer det inte alltid att råvara nivå 2 är sockerbeta.",
838,Ris à la Malta,Fett matfettsblandning,1,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A04RT,1,"1 * 1,00",,,,,,Faktor = logisk slutledning,
839,Risgrynskaka el risgrynspudding,"Mjölk fett 1-2,5 %",36,,"Rå, tillagad ",1,-,A02LZ,36,"36 * 1,00",,,,,,Faktor = logisk slutledning,
839,Risgrynskaka el risgrynspudding,"Mjölk fett > 2,5%",16,,"Rå, tillagad ",1,-,A02LY,16,"16 * 1,00",,,,,,Faktor = logisk slutledning,
839,Risgrynskaka el risgrynspudding,"Ris, siktat",12,Vildris,Torkad,1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A003F_R,12,"12 * 1,00",,,,,,,
839,Risgrynskaka el risgrynspudding,"Ägg, höna",11,Helt ägg höna,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A031G,11,"11 * 1,00",,,,,,Faktor = logisk slutledning,
839,Risgrynskaka el risgrynspudding,Mjölk fett < 1 %,10,,"Rå, tillagad ",1,-,A02MA,10,"10 * 1,00",,,,,,Faktor = logisk slutledning,
839,Risgrynskaka el risgrynspudding,Grädde fett >31%,7,vispgrädde,"Rå, tillagad ",1,-,A02MK#F07.A074F,7,"7 * 1,00",Mjölk,"Rå, tillagad ",10,SLV - Riktlinjer för livsmedel,A02LY,"Faktor = logisk slutledning
Faktor för nivå 2 beräknad utifrån att 100g mjölk med fetthalt 4% ger 10 g grädde med 40% fetthalt.",
839,Risgrynskaka el risgrynspudding,Socker,4,"Råsocker, farinsocker, invertsocker, sockerkulör","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A032H,4,"4 * 1,00",Sockerbeta,Rå,6.5,SLV - Riktlinjer för livsmedel,A010T,"Faktor = logisk slutledning

NB! Med ändrad Foodex-kod för socker, stämmer det inte alltid att råvara nivå 2 är sockerbeta.",
839,Risgrynskaka el risgrynspudding,Grädde fett <15%,2,matlagningsgrädde,"Rå, tillagad ",1,SLV - Riktlinjer för livsmedel,A02MK#F07.A074F,2,"2 * 1,00",Mjölk,"Rå, tillagad ",3,SLV - Riktlinjer för livsmedel,A02LY,"Faktor= logisk slutledning.
Faktor för nivå 2 beräknad utifrån att 100g mjölk med fetthalt 4% ger 33,3  g grädde med 12% fetthalt.",
839,Risgrynskaka el risgrynspudding,Fett matfettsblandning,2,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A04RT,2,"2 * 1,00",,,,,,Faktor = logisk slutledning,
842,Paella,"Ris, korn",38,Vildris,Tillagad,0.4,"Retentionsfaktorer för beräknade livsmedel, näringsämnen/Bognar ",A003D,15.2,"38 * 0,40",,,,,,,
842,Paella,Kyckling,32,,Tillagad,1,SLV - Riktlinjer för livsmedel,A01SP,44.8,"32 * 1,40",,,,,,Faktor = logisk slutledning,
842,Paella,Musslor,12,,Tillagad,1,"Retentionsfaktorer för beräknade livsmedel, näringsämnen/Bognar ",A02HF,12,"12 * 1,00",,,,,,"Faktorn avser tillagade musslor med skal. För en omvanlingsfaktor från tillagade musslor utan skal till råa musslor med skal blir omvandlingsfaktorn 5,0 (Bognar)",
842,Paella,Paprika ,7,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00JA,7,"7 * 1,00",,,,,,,
842,Paella,"Lök (gul, röd)",5,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,5,"5 * 1,00",,,,,,,
842,Paella,Räkor ,4,,Tillagad,1,"Retentionsfaktorer för beräknade livsmedel, näringsämnen/Bognar ",A02GB,4,"4 * 1,00",,,,,,,
842,Paella,Olja olivolja,1,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A036P,1,"1 * 1,00",Oliver,Juice drickfärdig,2,"Guidance document on the conversion of foods coded according to FoodEx into raw agricultural commodities (RACs), EU project ACROPOLIS WP2, Deliverable 2.2, Polly E. Boon, June 2011 ",A016M,,
842,Paella,Vitlök,1,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00GZ,1,"1 * 1,00",,,,,,,
842,Paella,Persilja,0,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A00YE,0,"0 * 1,00",,,,,,Faktor=logisk slutledning,
842,Paella,Salt,0,"Havssalt, mineralsalt","Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A042P,0,"0 * 1,00",,,,,,Faktor = logisk slutledning,
853,Stuvade makaroner,"Vete, siktat",40,"kokt pasta, kokta nudlar",Tillagad,0.5,"Retentionsfaktorer för beräknade livsmedel, näringsämnen/Bognar ",A003Y,20,"40 * 0,50",,,,,,,
853,Stuvade makaroner,"Mjölk fett > 2,5%",60,,"Rå, tillagad ",1,-,A02LY,60,"60 * 1,00",,,,,,Faktor = logisk slutledning,
861,Ravioli m sås fryst el konserv,Vatten,40,,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A03DL,40,"40 * 1,00",,,,,,Faktor=logiskt slutledning,
861,Ravioli m sås fryst el konserv,Morot,10,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00QH,10,"10 * 1,00",,,,,,,
861,Ravioli m sås fryst el konserv,"Vete, siktat",10,,"Tillagad, adderad",1,-,A003Y,10,"10 * 1,00",,,,,,Faktor = logisk slutledning,
861,Ravioli m sås fryst el konserv,Tomat ,8,,Pure ,3.2,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HQ,25.6,"8 * 3,20",,,,,,,
861,Ravioli m sås fryst el konserv,"Lök (gul, röd)",7,,"Tillagad, adderad",1,Conversion FOODEX to e-RAC 8 juli 2011_NL.xls,A00HC,7,"7 * 1,00",,,,,,,
861,Ravioli m sås fryst el konserv,"Ägg, höna",5,Helt ägg höna,"Tillagad, adderad",1,SLV - Riktlinjer för livsmedel,A031G,5,"5 * 1,00",,,,,,Faktor = logisk slutledning,
